"Category";"Aantal per 100.000 inwoners";"Aantal"
"Gemeente";88;24
"Gemeente";26.5;11
"Gemeente";58.1;11
"Gemeente";15.9;4
"Gemeente";79.1;25
"Gemeente";38.7;14
"Gemeente";31.6;37
"Gemeente";10.8;1
"Gemeente";77.7;15
"Gemeente";124.3;32
"Gemeente";48.2;113
"Gemeente";38.9;9
"Gemeente";9.3;10
"Gemeente";91.4;17
"Gemeente";28.2;45
"Gemeente";54.2;18
"Gemeente";66.7;18
"Gemeente";91.2;40
"Gemeente";51.1;11
"Gemeente";50.3;20
"Gemeente";247.4;76
"Gemeente";53.2;9
"Gemeente";83.2;22
"Gemeente";153.8;77
"Gemeente";31.5;12
"Gemeente";100.4;24
"Gemeente";41.4;24
"Gemeente";35.1;13
"Gemeente";42.2;31
"Gemeente";128.6;16
"Gemeente";34.3;80
"Gemeente";49.4;7
"Gemeente";24.7;6
"Gemeente";125.3;18
"Gemeente";40.5;66
"Gemeente";25.6;40
"Gemeente";33;10
"Gemeente";18.1;11
"Gemeente";37.2;18
"Gemeente";38.3;7
"Gemeente";19.1;3
"Gemeente";57.3;7
"Gemeente";40.8;16
"Gemeente";88.1;24
"Gemeente";145.3;27
"Gemeente";9.9;5
"Gemeente";34.7;20
"Gemeente";78.1;68
"Gemeente";74.3;12
"Gemeente";54.2;13
"Gemeente";22.3;8
"Gemeente";24.9;10
"Gemeente";81.1;75
"Gemeente";16;5
"Gemeente";28.3;23
"Gemeente";14.6;7
"Gemeente";91.2;15
"Gemeente";82.8;37
"Gemeente";13.5;3
"Gemeente";64.5;10
"Gemeente";26.4;24
"Gemeente";58.3;51
"Gemeente";40;14
"Gemeente";35.1;17
"Gemeente";14.4;8
"Gemeente";23.2;17
"Gemeente";58.9;25
"Gemeente";93.7;47
"Gemeente";31.5;13
"Gemeente";7.3;2
"Gemeente";76.2;26
"Gemeente";18.3;5
"Gemeente";82.8;45
"Gemeente";15.8;2
"Gemeente";22.8;15
"Gemeente";61.2;28
"Gemeente";26.4;6
"Gemeente";23.7;7
"Gemeente";42.6;24
"Gemeente";146.5;33
"Gemeente";267;42
"Gemeente";74.8;28
"Gemeente";60.9;7
"Gemeente";49.7;14
"Gemeente";54.5;34
"Gemeente";71;8
"Gemeente";15.3;19
"Gemeente";24;30
"Gemeente";14.8;4
"Gemeente";23.5;18
"Gemeente";36.9;29
"Gemeente";103.1;37
"Gemeente";52.6;16
"Gemeente";47.2;22
"Gemeente";13.1;3
"Gemeente";32.6;11
"Gemeente";106.8;25
"Gemeente";89.8;13
"Gemeente";10.5;1
"Gemeente";4.4;1
"Gemeente";24;6
"Gemeente";54.3;13
"Gemeente";33.1;11
"Gemeente";103.7;126
"Gemeente";17.7;8
"Gemeente";42.5;8
"Gemeente";240.2;195
"Gemeente";11.8;4
"Gemeente";18.4;9
"Gemeente";15.5;3
"Gemeente";6;2
"Gemeente";8.2;5
"Gemeente";64;7
"Gemeente";16.2;6
"Gemeente";38.7;17
"Gemeente";13.9;5
"Gemeente";79;11
"Gemeente";63.7;5
"Gemeente";65.7;16
"Gemeente";123.4;21
"Gemeente";26.8;17
"Gemeente";24.3;7
"Gemeente";34.7;15
"Gemeente";74.3;132
"Gemeente";32.8;28
"Gemeente";8.8;4
"Gemeente";27;2
"Gemeente";9.6;3
"Gemeente";21.2;10
"Gemeente";23;10
"Gemeente";47.1;11
"Gemeente";140.1;39
"Gemeente";48.3;12
"Gemeente";53.4;10
"Gemeente";87.6;23
"Gemeente";0;0
"Gemeente";80.4;19
"Gemeente";53.4;17
"Gemeente";32.9;6
"Gemeente";38.9;7
"Gemeente";23.6;7
"Gemeente";55.4;31
"Gemeente";3.9;1
"Gemeente";71.9;7
"Gemeente";16.9;2
"Gemeente";20.2;6
"Gemeente";139.2;128
"Gemeente";12.7;5
"Gemeente";49.9;7
"Gemeente";176;18
"Gemeente";106.5;51
"Gemeente";18.7;6
"Gemeente";246.4;107
"Gemeente";16.4;2
"Gemeente";41.6;23
"Gemeente";59.1;48
"Gemeente";24.9;6
"Gemeente";34.5;13
"Gemeente";30.8;7
"Gemeente";54.1;17
"Gemeente";18.4;1
"Gemeente";30.5;4
"Gemeente";61.7;27
"Gemeente";24.8;5
"Gemeente";41.1;19
"Gemeente";34.1;13
"Gemeente";25.7;14
"Gemeente";63.2;13
"Gemeente";53.2;31
"Gemeente";32.4;25
"Gemeente";38.2;249
"Gemeente";117.3;2
"Gemeente";43.7;10
"Gemeente";22.7;124
"Gemeente";28;13
"Gemeente";40.5;4
"Gemeente";24.1;19
"Gemeente";0;0
"Gemeente";26.6;9
"Gemeente";94.8;10
"Gemeente";154.2;18
"Gemeente";95.9;28
"Gemeente";106;98
"Gemeente";23.8;6
"Gemeente";25.8;6
"Gemeente";8.9;5
"Gemeente";60.1;28
"Gemeente";98.1;19
"Gemeente";115.5;20
"Gemeente";3.2;1
"Gemeente";29.2;5
"Gemeente";82.8;18
"Gemeente";57.1;14
"Gemeente";18.1;8
"Gemeente";116;29
"Gemeente";46.2;30
"Gemeente";16.7;15
"Gemeente";29.4;16
"Gemeente";0;0
"Gemeente";22.1;3
"Gemeente";29.4;11
"Gemeente";77.6;20
"Gemeente";54.6;23
"Gemeente";115.6;254
"Gemeente";51.7;11
"Gemeente";14.8;5
"Gemeente";47.2;16
"Gemeente";9.4;3
"Gemeente";292;123
"Gemeente";51.3;7
"Gemeente";37.3;11
"Gemeente";42.8;9
"Gemeente";67.9;243
"Gemeente";44.4;22
"Gemeente";59.4;6
"Gemeente";67.2;11
"Gemeente";64.1;20
"Gemeente";3.7;1
"Gemeente";19.6;13
"Gemeente";36.6;8
"Gemeente";48.4;22
"Gemeente";36.4;25
"Gemeente";65.8;67
"Gemeente";48.2;21
"Gemeente";42.2;24
"Gemeente";38.1;28
"Gemeente";0;0
"Gemeente";18;8
"Gemeente";56.1;7
"Gemeente";23.4;6
"Gemeente";53;13
"Gemeente";109.2;29
"Gemeente";6.5;3
"Gemeente";34.4;6
"Gemeente";94.6;46
"Gemeente";23.9;7
"Gemeente";12.6;5
"Gemeente";22.9;6
"Gemeente";63.1;11
"Gemeente";53.9;27
"Gemeente";40.5;8
"Gemeente";46.9;24
"Gemeente";67.3;13
"Gemeente";23.7;15
"Gemeente";15.4;3
"Gemeente";13.4;2
"Gemeente";11.6;3
"Gemeente";34.4;38
"Gemeente";7.7;2
"Gemeente";61.1;9
"Gemeente";16.4;4
"Gemeente";73;30
"Gemeente";16.4;4
"Gemeente";29.3;7
"Gemeente";10.4;3
"Gemeente";22.8;5
"Gemeente";47.8;25
"Gemeente";36.8;6
"Gemeente";44.9;6
"Gemeente";29.4;46
"Gemeente";31.1;9
"Gemeente";35.1;6
"Gemeente";30.9;7
"Gemeente";52.4;34
"Gemeente";27.4;12
"Gemeente";13.6;17
"Gemeente";23.2;2
"Gemeente";25.1;11
"Gemeente";77.9;17
"Gemeente";20.9;10
"Gemeente";158.7;36
"Gemeente";29.1;13
"Gemeente";48.9;63
